"CODIGO","ANO_LETIVO","PERIODO","INSCRITOS","COM_FREQUENCIA","APROVADOS","DEPARTAMENTO"
"EM533","1996/1997","1S",25,18,18,"DEMEGI"
"EM534","1996/1997","1S",45,37,37,"DEMEGI"
"EM535","1996/1997","1S",30,23,23,"DEMEGI"
"EM536","1996/1997","2S",29,18,17,"DEMEGI"
"EM537","1996/1997","2S",20,13,13,"DEMEGI"
"EM538","1996/1997","1S",24,17,17,"DEMEGI"
"EM539","1996/1997","2S",30,21,21,"DEMEGI"
"EM542","1996/1997","2S",20,14,9,"DEMEGI"
"EM545","1996/1997","A",27,25,25,"DEMEGI"
"EM546","1996/1997","1S",27,24,23,"DEMEGI"
"EM547","1996/1997","2S",35,27,26,"DEMEGI"
"EM548","1996/1997","1S",22,18,18,"DEMEGI"
"EM549","1996/1997","1S",24,20,20,"DEMEGI"
"PRODEI004","2007/2008","1S",,,,""
"EEC312","1996/1997","2S",265,191,160,"DEEC"
"EEC313","1996/1997","2S",139,133,132,"DEEC"
"EC551","1996/1997","1S",29,26,26,"DEC"
"EEC414","1996/1997","1S",47,38,36,"DEEC"
"EEC415","1996/1997","1S",127,90,84,"DEEC"
"MEEC2080","1997/1998","2S",5,3,2,"DEEC"
"MEEC2042","1997/1998","1S",,,,"DEEC"
"MEEC2045","1997/1998","2S",,,,"DEEC"
"MEEC2049","1997/1998","2S",15,15,15,"DEEC"
"MEEC2052","1997/1998","12",,,,"DEEC"
"MEEC2054","1997/1998","2S",10,6,6,"DEEC"
"MEEC2056","1997/1998","12",,,,"DEEC"
"EC134","1996/1997","2S",349,206,137,"DEC"
"EC133","1996/1997","1S",390,225,149,"DEC"
"EC135","1996/1997","2S",339,199,141,"DEC"
"EEC404","1996/1997","1S",94,71,67,"DEEC"
"EEC405","1996/1997","1S",98,67,59,"DEEC"
"EEC406","1996/1997","2S",93,62,62,"DEEC"
"EEC407","1996/1997","2S",115,62,57,"DEEC"
"PRODEI005","2007/2008","1S",,,,""
"PRODEI006","2007/2008","1S",,,,""
"PRODEI007","2007/2008","1S",,,,""
"PRODEI008","2007/2008","1S",,,,""
"EEC503","1996/1997","1S",53,48,48,"DEEC"
"EEC504","1996/1997","1S",48,43,43,"DEEC"
"EEC505","1996/1997","1S",25,25,25,"DEEC"
"EEC506","1996/1997","1S",9,7,7,"DEEC"
"MEEC1018","1997/1998","2S",,,,"DEEC"
"EC624","1996/1997","2S",30,29,27,"DEC"
"MEA100","2003/2004","1T",39,29,23,""
"MEA101","2003/2004","1T",43,34,33,""
"MEA104","2003/2004","1T",38,34,34,""
"MEA106","2003/2004","1T",41,27,21,""
"MEA107","2003/2004","1T",38,37,37,""
"MEA402","2003/2004","2T",,,,""
"MEA203","2003/2004","2T",40,33,33,""
"MEA205","2003/2004","2T",30,27,27,""
"MEA206","2003/2004","2T",33,24,23,""
"MEA207","2003/2004","2T",34,26,21,""
"MEA208","2003/2004","2T",33,26,25,""
"MEA301","2003/2004","3T",9,5,5,""
"MEA302","2003/2004","3T",15,11,9,""
"MEA305","2003/2004","3T",26,16,14,""
"MEA306","2003/2004","3T",31,23,20,""
"MEA308","2003/2004","3T",11,10,10,""
"MEA311","2003/2004","3T",45,12,12,""
"MEA315","2003/2004","3T",8,7,7,""
"MEA316","2003/2004","3T",8,7,7,""
"MGI1103","2004/2005","1S",16,,,""
"MEA318","2003/2004","3T",8,8,8,""
"MEA317","2003/2004","2T",,,,""
"MEA209","2003/2004","4T",23,16,11,""
"MEA321","2003/2004","4T",23,20,18,""
"MEA400","2003/2004","4T",60,3,3,""
"MEA406","2003/2004","4T",8,2,2,""
"MEA407","2003/2004","4T",30,19,17,""
"MEA411","2003/2004","4T",23,16,14,""
"EM304","1996/1997","1S",194,150,122,"DEMEGI"
"EM305","1996/1997","1S",242,116,66,"DEMEGI"
"EM306","1996/1997","2S",178,122,87,"DEMEGI"
"EEC203","1996/1997","1S",267,216,189,"DEEC"
"EEC205","1996/1997","1S",270,212,171,"DEEC"
"EM550","1996/1997","1S",13,10,10,"DEMEGI"
"EEC3264","1999/2000","2S",123,106,81,"DEEC"
"EEC102","1996/1997","1S",344,284,227,"DEEC"
"EEC525","1996/1997","1S",21,19,17,"DEEC"
"EEC522","1996/1997","A",43,40,32,"DEEC"
"EEC441","1996/1997","1S",62,40,38,"DEEC"
"MEEC2007","1997/1998","2S",3,2,2,"DEEC"
"MEEC2006","1997/1998","2S",,,,"DEEC"
"MEEC2050","1997/1998","1S",9,6,6,"DEEC"
"MEEC2051","1997/1998","2S",11,7,7,"DEEC"
"MEEC2048","1997/1998","2S",,,,"DEEC"
"MEEC1006","1997/1998","1S",,,,"DEEC"
"MEEC2074","1997/1998","1S",25,23,22,"DEEC"
"MEEC2015","1997/1998","2S",,,,"DEEC"
"EEC424","1996/1997","2S",166,124,113,"DEEC"
"EEC426","1996/1997","2S",6,5,5,"DEEC"
"EEC427","1996/1997","2S",37,37,37,"DEEC"
"EEC439","1996/1997","2S",48,34,31,"DEEC"
"EEC207","1996/1997","2S",402,220,170,"DEEC"
"EEC208","1996/1997","2S",265,195,162,"DEEC"
"EEC451","1996/1997","2S",52,41,41,"DEEC"
"EEC452","1996/1997","2S",93,66,62,"DEEC"
"EEC453","1996/1997","2S",59,42,42,"DEEC"
"EEC206","1996/1997","1S",204,204,179,"DEEC"
"EEC3221","1997/1998","2S",60,31,27,"DEEC"
"EC126","1998/1999","12",,,,"DEC"
"EC127","1998/1999","12",,,,"DEC"
"EC128","1998/1999","12",,,,"DEC"
"EC129","1998/1999","12",,,,"DEC"
"EC130","1998/1999","12",,,,"DEC"
"EC131","1998/1999","12",,,,"DEC"
"EC136","1998/1999","12",,,,"DEC"
"EC137","1998/1999","12",,,,"DEC"
"EC138","1998/1999","12",,,,"DEC"
"EC139","1998/1999","12",,,,"DEC"
"EC200","1998/1999","12",,,,"DEC"
"EC201","1998/1999","12",,,,"DEC"
"EC202","1998/1999","12",,,,"DEC"
"EC210","1998/1999","12",,,,"DEC"
"EC211","1998/1999","12",,,,"DEC"
"EC212","1998/1999","12",,,,"DEC"
"EC213","1998/1999","12",,,,"DEC"
"EC214","1998/1999","12",,,,"DEC"
"EC215","1998/1999","12",,,,"DEC"
"EC216","1998/1999","12",,,,"DEC"
"EC217","1998/1999","12",,,,"DEC"
"EC218","1998/1999","12",,,,"DEC"
"EC219","1998/1999","12",,,,"DEC"
"EC220","1998/1999","12",,,,"DEC"
"PRODEI013","2007/2008","1S",,,,""
"EC565","1996/1997","1S",15,15,13,"DEC"
"EC419","1996/1997","1S",10,9,9,"DEC"
"EC403","1996/1997","1S",156,140,135,"DEC"
"EC622","1996/1997","1S",21,20,19,"DEC"
"EM206","1996/1997","2S",270,183,118,"DEMEGI"
"EM207","1996/1997","1S",256,136,73,"DEMEGI"
"EM208","1996/1997","2S",433,274,135,"DEMEGI"
"EM300","1996/1997","A",213,145,72,"DEMEGI"
"EC221","1996/1997","1S",226,189,157,"DEC"
"EEC513","1996/1997","1S",32,30,30,"DEEC"
"EM515","1996/1997","A",8,6,6,"DEMEGI"
"EM516","1996/1997","1S",9,9,9,"DEMEGI"
"EM517","1996/1997","2S",11,8,8,"DEMEGI"
"EM518","1996/1997","1S",15,9,8,"DEMEGI"
"EM520","1996/1997","2S",7,7,7,"DEMEGI"
"EM521","1996/1997","2S",1,,,"DEMEGI"
"EM522","1996/1997","2S",11,4,4,"DEMEGI"
"EM523","1996/1997","2S",13,9,9,"DEMEGI"
"MGI1106","1997/1998","2S",10,9,9,"DEEC"
"EEC3122","1997/1998","1S",65,59,23,"DEEC"
"EEC416","1996/1997","1S",58,47,38,"DEEC"
"EIC2104","1997/1998","1S",71,49,41,"DEEC"
"EEC428","1996/1997","1S",52,40,37,"DEEC"
"EEC100","1996/1997","1S",357,266,160,"DEEC"
"EEC101","1996/1997","1S",197,176,139,"DEEC"
"EEC104","1996/1997","1S",280,215,161,"DEEC"
"EEC105","1996/1997","1S",232,197,170,"DEEC"
"EM524","1996/1997","1S",12,8,8,"DEMEGI"
"EM525","1996/1997","2S",14,2,2,"DEMEGI"
"EM530","1996/1997","A",30,19,18,"DEMEGI"
"EC329","1996/1997","2S",428,256,181,"DEC"
"EM400","1996/1997","A",162,95,95,"DEMEGI"
"EM403","1996/1997","1S",194,138,119,"DEMEGI"
"EM503","1997/1998","1S",28,25,25,"DEMEGI"
"EM509","1997/1998","1S",24,21,18,"DEMEGI"
"EM404","1996/1997","1S",130,99,78,"DEMEGI"
"PRODEI011","2007/2008","1S",,,,""
"EM104","1996/1997","1S",169,147,124,"DEMEGI"
"EM105","1996/1997","1S",195,159,116,"DEMEGI"
"EM106","1996/1997","2S",290,153,110,"DEMEGI"
"EM107","1996/1997","2S",140,126,102,"DEMEGI"
"EC102","1996/1997","1S",314,241,169,"DEC"
"EEC403","1996/1997","1S",90,78,77,"DEEC"
"EEC432","1996/1997","1S",11,7,7,"DEEC"
"EEC470","1996/1997","1S",6,5,4,"DEEC"
"EEC454","1996/1997","1S",24,19,19,"DEEC"
"EM408","1996/1997","2S",179,129,95,"DEMEGI"
"EC324","1996/1997","1S",225,189,167,"DEC"
"EM126","1998/1999","1S",252,213,123,"DEMEGI"
"EM319","1997/1998","1S",229,129,91,"DEMEGI"
"EM401","1997/1998","1S",108,100,95,"DEMEGI"
"EM535","1997/1998","1S",12,9,9,"DEMEGI"
"EEC111","1996/1997","2S",408,231,107,"DEEC"
"PRODEI015","2007/2008","2S",,,,""
"EC103","1996/1997","1S",297,296,132,"DEC"
"EC626","1996/1997","2S",23,22,22,"DEC"
"MEMT102","2003/2004","1S",4,4,4,""
"MEMT105","2003/2004","1S",3,2,2,""
"MEMT106","2003/2004","1S",4,4,4,""
"EM108","1996/1997","2S",205,162,138,"DEMEGI"
"EM201","1996/1997","A",340,233,132,"DEMEGI"
"EM203","1996/1997","1S",439,211,133,"DEMEGI"
"EM202","1996/1997","1S",,,,"DEMEGI"
"EM205","1996/1997","2S",298,170,126,"DEMEGI"
"EEC200","1996/1997","1S",309,199,150,"DEEC"
"EEC201","1996/1997","1S",342,205,146,"DEEC"
"EEC202","1996/1997","1S",349,177,98,"DEEC"
"EEC443","1996/1997","1S",52,41,41,"DEEC"
"EEC445","1996/1997","1S",76,62,59,"DEEC"
"EC436","1996/1997","1S",298,226,190,"DEC"
"EC407","1996/1997","2S",175,147,144,"DEC"
"EEC305","1996/1997","1S",220,161,137,"DEEC"
"EEC306","1996/1997","1S",140,134,132,"DEEC"
"MEMT107","2003/2004","1S",4,4,4,""
"MEMT110","2003/2004","2S",2,,,""
"MEMT120","2003/2004","2S",1,,,""
"MEMT131","2003/2004","2S",1,,,""
"MEMT2000","2003/2004","2S",5,,,""
"MRSC1103","2005/2006","1S",,,,""
"EEC446","1996/1997","1S",56,49,47,"DEEC"
"EEC450","1996/1997","2S",54,44,41,"DEEC"
